#
# INPUTFILE 
# ENERGYOUT energy.dat
# GEOMOUT geometry.xyz
# RANDOMSEED 41
# DESIREDTEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSWAITTIME 5.000000 s
# ENERGYWAITTIME 0.001000 ps
# GEOMWAITTIME 0.001000 ps
# TOTALTIME 0.500000 ps
# TIMESTEP 0.000500 ps
# EQTIME 0.000000 ps
# EQRATE 2.000000 p
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
 0.0410  2.30044e+05  2.394e+00  2.300e+05  2.300e+05  5.033e+00  0.000e+00  2.302e+05 -1.782e+02  1.764e+00  2.985e+00  2.849e-01  0.000e+00
 0.0420  2.28940e+05  2.244e+00  2.289e+05  2.289e+05  5.179e+00  0.000e+00  2.291e+05 -1.779e+02  1.764e+00  3.147e+00  2.685e-01  0.000e+00
 0.0430  2.24616e+05  2.677e+00  2.246e+05  2.246e+05  4.735e+00  0.000e+00  2.248e+05 -1.777e+02  1.394e+00  3.095e+00  2.468e-01  0.000e+00
 0.0440  2.21600e+05  3.059e+00  2.216e+05  2.216e+05  4.348e+00  0.000e+00  2.218e+05 -1.775e+02  1.247e+00  2.880e+00  2.207e-01  0.000e+00
 0.0450  2.21504e+05  3.066e+00  2.215e+05  2.215e+05  4.346e+00  0.000e+00  2.217e+05 -1.774e+02  1.578e+00  2.576e+00  1.916e-01  0.000e+00
 0.0460  2.22416e+05  2.999e+00  2.224e+05  2.224e+05  4.422e+00  0.000e+00  2.226e+05 -1.774e+02  2.003e+00  2.258e+00  1.611e-01  0.000e+00
 0.0470  2.21391e+05  3.348e+00  2.214e+05  2.214e+05  4.073e+00  0.000e+00  2.216e+05 -1.775e+02  1.960e+00  1.982e+00  1.309e-01  0.000e+00
 0.0480  2.17765e+05  4.149e+00  2.178e+05  2.178e+05  3.263e+00  0.000e+00  2.179e+05 -1.777e+02  1.379e+00  1.782e+00  1.026e-01  0.000e+00
 0.0490  2.14414e+05  4.875e+00  2.144e+05  2.144e+05  2.528e+00  0.000e+00  2.146e+05 -1.780e+02  7.806e-01  1.669e+00  7.777e-02  0.000e+00
 0.0500  2.14849e+05  5.014e+00  2.148e+05  2.148e+05  2.391e+00  0.000e+00  2.150e+05 -1.783e+02  6.947e-01  1.638e+00  5.804e-02  0.000e+00
 0.0510  2.18642e+05  4.651e+00  2.186e+05  2.186e+05  2.764e+00  0.000e+00  2.188e+05 -1.787e+02  1.056e+00  1.664e+00  4.415e-02  0.000e+00
 0.0520  2.20926e+05  4.389e+00  2.209e+05  2.209e+05  3.034e+00  0.000e+00  2.211e+05 -1.790e+02  1.294e+00  1.704e+00  3.578e-02  0.000e+00
 0.0530  2.18282e+05  4.669e+00  2.183e+05  2.183e+05  2.751e+00  0.000e+00  2.185e+05 -1.792e+02  1.013e+00  1.706e+00  3.164e-02  0.000e+00
 0.0540  2.13261e+05  5.279e+00  2.133e+05  2.133e+05  2.129e+00  0.000e+00  2.134e+05 -1.793e+02  4.722e-01  1.627e+00  2.989e-02  0.000e+00
 0.0550  2.10494e+05  5.616e+00  2.105e+05  2.105e+05  1.787e+00  0.000e+00  2.107e+05 -1.793e+02  2.984e-01  1.459e+00  2.882e-02  0.000e+00
 0.0560  2.11178e+05  5.372e+00  2.112e+05  2.112e+05  2.037e+00  0.000e+00  2.114e+05 -1.793e+02  7.479e-01  1.262e+00  2.741e-02  0.000e+00
 0.0570  2.12740e+05  4.857e+00  2.127e+05  2.127e+05  2.561e+00  0.000e+00  2.129e+05 -1.792e+02  1.388e+00  1.147e+00  2.573e-02  0.000e+00
 0.0580  2.12005e+05  4.578e+00  2.120e+05  2.120e+05  2.840e+00  0.000e+00  2.122e+05 -1.790e+02  1.577e+00  1.238e+00  2.480e-02  0.000e+00
 0.0590  2.08524e+05  4.587e+00  2.085e+05  2.085e+05  2.823e+00  0.000e+00  2.087e+05 -1.788e+02  1.191e+00  1.606e+00  2.608e-02  0.000e+00
 0.0600  2.05336e+05  4.397e+00  2.053e+05  2.053e+05  3.005e+00  0.000e+00  2.055e+05 -1.786e+02  7.497e-01  2.225e+00  3.073e-02  0.000e+00
 0.0610  2.06252e+05  3.592e+00  2.062e+05  2.062e+05  3.814e+00  0.000e+00  2.064e+05 -1.785e+02  8.018e-01  2.973e+00  3.914e-02  0.000e+00
 0.0620  2.11657e+05  2.419e+00  2.117e+05  2.116e+05  5.001e+00  0.000e+00  2.118e+05 -1.785e+02  1.281e+00  3.669e+00  5.077e-02  0.000e+00
 0.0630  2.17178e+05  1.650e+00  2.172e+05  2.172e+05  5.779e+00  0.000e+00  2.173e+05 -1.786e+02  1.593e+00  4.121e+00  6.455e-02  0.000e+00
 0.0640  2.18571e+05  1.830e+00  2.186e+05  2.186e+05  5.595e+00  0.000e+00  2.187e+05 -1.787e+02  1.327e+00  4.188e+00  7.935e-02  0.000e+00
 0.0650  2.17273e+05  2.737e+00  2.173e+05  2.173e+05  4.675e+00  0.000e+00  2.174e+05 -1.787e+02  7.532e-01  3.828e+00  9.448e-02  0.000e+00
 0.0660  2.17480e+05  3.665e+00  2.175e+05  2.175e+05  3.740e+00  0.000e+00  2.177e+05 -1.788e+02  5.184e-01  3.112e+00  1.098e-01  0.000e+00
 0.0670  2.19810e+05  4.189e+00  2.198e+05  2.198e+05  3.221e+00  0.000e+00  2.200e+05 -1.788e+02  8.901e-01  2.206e+00  1.254e-01  0.000e+00
 0.0680  2.20761e+05  4.537e+00  2.208e+05  2.208e+05  2.881e+00  0.000e+00  2.209e+05 -1.787e+02  1.424e+00  1.315e+00  1.419e-01  0.000e+00
 0.0690  2.17124e+05  5.170e+00  2.171e+05  2.171e+05  2.249e+00  0.000e+00  2.173e+05 -1.784e+02  1.464e+00  6.255e-01  1.595e-01  0.000e+00
 0.0700  2.09783e+05  6.070e+00  2.098e+05  2.098e+05  1.338e+00  0.000e+00  2.100e+05 -1.781e+02  9.107e-01  2.484e-01  1.783e-01  0.000e+00
 0.0710  2.03243e+05  6.630e+00  2.032e+05  2.032e+05  7.677e-01  0.000e+00  2.034e+05 -1.779e+02  3.570e-01  2.124e-01  1.983e-01  0.000e+00
 0.0720  2.02030e+05  6.284e+00  2.020e+05  2.020e+05  1.116e+00  0.000e+00  2.022e+05 -1.778e+02  4.162e-01  4.811e-01  2.192e-01  0.000e+00
 0.0730  2.06944e+05  5.179e+00  2.069e+05  2.069e+05  2.235e+00  0.000e+00  2.071e+05 -1.781e+02  1.009e+00  9.850e-01  2.407e-01  0.000e+00
 0.0740  2.13660e+05  4.084e+00  2.137e+05  2.137e+05  3.340e+00  0.000e+00  2.138e+05 -1.785e+02  1.438e+00  1.639e+00  2.624e-01  0.000e+00
 0.0750  2.16956e+05  3.609e+00  2.170e+05  2.169e+05  3.812e+00  0.000e+00  2.171e+05 -1.790e+02  1.182e+00  2.346e+00  2.843e-01  0.000e+00
 0.0760  2.17348e+05  3.599e+00  2.173e+05  2.173e+05  3.811e+00  0.000e+00  2.175e+05 -1.794e+02  5.123e-01  2.993e+00  3.059e-01  0.000e+00
 0.0770  2.19618e+05  3.407e+00  2.196e+05  2.196e+05  3.997e+00  0.000e+00  2.198e+05 -1.798e+02  1.976e-01  3.472e+00  3.272e-01  0.000e+00
 0.0780  2.25283e+05  2.724e+00  2.253e+05  2.253e+05  4.688e+00  0.000e+00  2.255e+05 -1.800e+02  6.335e-01  3.706e+00  3.478e-01  0.000e+00
 0.0790  2.30212e+05  2.002e+00  2.302e+05  2.302e+05  5.423e+00  0.000e+00  2.304e+05 -1.799e+02  1.382e+00  3.674e+00  3.669e-01  0.000e+00
 0.0800  2.29316e+05  1.962e+00  2.293e+05  2.293e+05  5.466e+00  0.000e+00  2.295e+05 -1.795e+02  1.665e+00  3.417e+00  3.835e-01  0.000e+00
 0.0810  2.22330e+05  2.738e+00  2.223e+05  2.223e+05  4.678e+00  0.000e+00  2.225e+05 -1.788e+02  1.262e+00  3.019e+00  3.966e-01  0.000e+00
 0.0820  2.14266e+05  3.651e+00  2.143e+05  2.143e+05  3.750e+00  0.000e+00  2.144e+05 -1.781e+02  7.698e-01  2.574e+00  4.059e-01  0.000e+00
 0.0830  2.10817e+05  3.917e+00  2.108e+05  2.108e+05  3.484e+00  0.000e+00  2.110e+05 -1.774e+02  9.175e-01  2.155e+00  4.113e-01  0.000e+00
 0.0840  2.13689e+05  3.505e+00  2.137e+05  2.137e+05  3.910e+00  0.000e+00  2.139e+05 -1.771e+02  1.697e+00  1.800e+00  4.134e-01  0.000e+00
 0.0850  2.18837e+05  3.172e+00  2.188e+05  2.188e+05  4.254e+00  0.000e+00  2.190e+05 -1.770e+02  2.322e+00  1.521e+00  4.122e-01  0.000e+00
 0.0860  2.20525e+05  3.611e+00  2.205e+05  2.205e+05  3.813e+00  0.000e+00  2.207e+05 -1.771e+02  2.095e+00  1.310e+00  4.077e-01  0.000e+00
 0.0870  2.18969e+05  4.648e+00  2.190e+05  2.190e+05  2.760e+00  0.000e+00  2.191e+05 -1.773e+02  1.210e+00  1.150e+00  3.999e-01  0.000e+00
 0.0880  2.19890e+05  5.424e+00  2.199e+05  2.199e+05  1.974e+00  0.000e+00  2.201e+05 -1.778e+02  5.704e-01  1.015e+00  3.887e-01  0.000e+00
 0.0890  2.25914e+05  5.344e+00  2.259e+05  2.259e+05  2.059e+00  0.000e+00  2.261e+05 -1.783e+02  7.911e-01  8.937e-01  3.746e-01  0.000e+00
 0.0900  2.32562e+05  4.743e+00  2.326e+05  2.326e+05  2.675e+00  0.000e+00  2.327e+05 -1.787e+02  1.516e+00  8.003e-01  3.589e-01  0.000e+00
 0.0910  2.32723e+05  4.479e+00  2.327e+05  2.327e+05  2.946e+00  0.000e+00  2.329e+05 -1.790e+02  1.822e+00  7.801e-01  3.434e-01  0.000e+00
 0.0920  2.24235e+05  4.916e+00  2.242e+05  2.242e+05  2.498e+00  0.000e+00  2.244e+05 -1.789e+02  1.276e+00  8.927e-01  3.300e-01  0.000e+00
 0.0930  2.12151e+05  5.457e+00  2.121e+05  2.121e+05  1.941e+00  0.000e+00  2.123e+05 -1.786e+02  4.449e-01  1.176e+00  3.198e-01  0.000e+00
 0.0940  2.03679e+05  5.179e+00  2.037e+05  2.037e+05  2.215e+00  0.000e+00  2.039e+05 -1.783e+02  2.863e-01  1.617e+00  3.126e-01  0.000e+00
 0.0950  2.02354e+05  3.886e+00  2.024e+05  2.023e+05  3.523e+00  0.000e+00  2.025e+05 -1.783e+02  1.075e+00  2.140e+00  3.069e-01  0.000e+00
 0.0960  2.05655e+05  2.404e+00  2.057e+05  2.056e+05  5.023e+00  0.000e+00  2.058e+05 -1.784e+02  2.085e+00  2.637e+00  3.004e-01  0.000e+00
 0.0970  2.07804e+05  1.762e+00  2.078e+05  2.078e+05  5.668e+00  0.000e+00  2.080e+05 -1.787e+02  2.378e+00  2.999e+00  2.908e-01  0.000e+00
